lokalizacja,cena,do_wynajecia_przez,liczba_pokoi,rodzaj_nieruchomosci,wielkosc,parking,liczba_lazienek,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Praga Północ, Warszawa",1600,Właściciel,Kawalerka lub garsoniera,Mieszkanie,34,Ulica,1 łazienka,Nie,Tak,184
"Praga Północ, Warszawa",1600,Właściciel,Kawalerka lub garsoniera,Mieszkanie,34,Ulica,1 łazienka,Nie,Tak,188
"Praga Południe, Warszawa",2700,Agencja,3 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,126
"Praga Południe, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,74
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,121
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,86
"Praga Południe, Warszawa",2450,Agencja,3 pokoje,Mieszkanie,61,Nie podano,Nie podano,Tak,Tak,100
"Praga Południe, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,32,Nie podano,Nie podano,Tak,Tak,126
"Praga Południe, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,102
"Praga Południe, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,83
"Praga Południe, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,112
"Praga Południe, Warszawa",1800,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,59
"Praga Południe, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,53,Nie podano,Nie podano,Tak,Tak,93
"Praga Południe, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,95
"Praga Południe, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,77
"Praga Południe, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,51,Nie podano,Nie podano,Tak,Tak,96
"Praga Południe, Warszawa",2180,Agencja,2 pokoje,Mieszkanie,45,Nie podano,Nie podano,Tak,Tak,92
"Praga Południe, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,103
"Praga Południe, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,97
"Praga Południe, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,90
"Praga Południe, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,57
"Praga Południe, Warszawa",2000,Agencja,Kawalerka lub garsoniera,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,73
"Praga Południe, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,36,Nie podano,Nie podano,Tak,Tak,136
"Praga Południe, Warszawa",1800,Agencja,2 pokoje,Mieszkanie,44,Nie podano,Nie podano,Tak,Tak,208
"Praga Południe, Warszawa",1900,Agencja,Kawalerka lub garsoniera,Inne,40,Nie podano,1 łazienka,Tak,Tak,113
"Praga Południe, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Nie,Tak,36
"Praga Południe, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,51,Nie podano,1 łazienka,Tak,Tak,91
"Praga Południe, Warszawa",2799,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,99
"Praga Południe, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,54
"Praga Południe, Warszawa",2799,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,290
"Praga Południe, Warszawa",1300,Właściciel,Kawalerka lub garsoniera,Mieszkanie,24,Nie podano,1 łazienka,Nie,Nie,75
"Praga Południe, Warszawa",1800,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,59
"Praga Południe, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,54,Garaż,1 łazienka,Tak,Tak,164
"Praga Południe, Warszawa",4200,Agencja,4 pokoje,Mieszkanie,80,Garaż,2 łazienki,Tak,Tak,192
"Praga Południe, Warszawa",4700,Agencja,3 pokoje,Mieszkanie,72,Garaż,1 łazienka,Tak,Tak,189
"Praga Południe, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,50,Kryty,Nie podano,Tak,Tak,146
"Praga Południe, Warszawa",1100,Właściciel,Kawalerka lub garsoniera,Mieszkanie,25,Ulica,1 łazienka,Nie,Tak,60
"Praga Południe, Warszawa",2050,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Kryty,Nie podano,Tak,Tak,153
"Praga Południe, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,56,Ulica,Nie podano,Tak,Tak,176
"Praga Południe, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,50,Kryty,Nie podano,Tak,Tak,134
"Praga Południe, Warszawa",4700,Agencja,4 pokoje,Mieszkanie,72,Kryty,Nie podano,Tak,Tak,152
"Praga Południe, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,53,Kryty,Nie podano,Tak,Tak,149
"Praga Południe, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,58,Kryty,Nie podano,Tak,Tak,136
"Praga Południe, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,41,Nie podano,Nie podano,Tak,Tak,135
"Praga Południe, Warszawa",1050,Właściciel,Kawalerka lub garsoniera,Mieszkanie,37,Brak,1 łazienka,Nie,Tak,46
"Śródmieście, Warszawa",2550,Agencja,2 pokoje,Mieszkanie,65,Nie podano,Nie podano,Tak,Tak,96
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,46,Nie podano,Nie podano,Tak,Tak,141
"Śródmieście, Warszawa",2699,Agencja,2 pokoje,Mieszkanie,55,Nie podano,1 łazienka,Tak,Tak,73
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,96
"Śródmieście, Warszawa",4200,Agencja,2 pokoje,Mieszkanie,58,Garaż,Nie podano,Tak,Tak,99
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,63,Nie podano,Nie podano,Tak,Tak,89
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,79
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,92
"Śródmieście, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,63
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,Nie podano,Tak,Tak,99
"Śródmieście, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,94
"Śródmieście, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,37,Nie podano,Nie podano,Tak,Tak,86
"Śródmieście, Warszawa",1700,Agencja,2 pokoje,Mieszkanie,30,Nie podano,1 łazienka,Tak,Nie,158
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,Nie podano,Tak,Tak,84
"Śródmieście, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,49,Ulica,1 łazienka,Tak,Tak,95
"Śródmieście, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,43,Nie podano,1 łazienka,Tak,Tak,133
"Śródmieście, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,34,Nie podano,Nie podano,Tak,Tak,98
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,Nie podano,Tak,Tak,47
"Śródmieście, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,66
"Śródmieście, Warszawa",2499,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,151
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,Nie podano,Tak,Tak,73
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,46,Kryty,Nie podano,Tak,Tak,73
"Śródmieście, Warszawa",2100,Agencja,Kawalerka lub garsoniera,Mieszkanie,37,Nie podano,Nie podano,Tak,Tak,81
"Śródmieście, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,96
"Śródmieście, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,46,Ulica,Nie podano,Tak,Tak,326
"Śródmieście, Warszawa",1730,Agencja,Kawalerka lub garsoniera,Mieszkanie,23,Nie podano,Nie podano,Tak,Tak,120
"Śródmieście, Warszawa",3000,Właściciel,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Nie,Nie,368
"Śródmieście, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,30,Nie podano,Nie podano,Tak,Tak,88
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,59,Nie podano,1 łazienka,Tak,Tak,138
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,64,Garaż,1 łazienka,Tak,Tak,60
"Śródmieście, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,85,Garaż,2 łazienki,Tak,Tak,82
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,82
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,78,Nie podano,1 łazienka,Tak,Tak,86
"Śródmieście, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,72
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,63,Garaż,1 łazienka,Tak,Tak,100
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,94
"Śródmieście, Warszawa",2300,Agencja,3 pokoje,Mieszkanie,55,Nie podano,1 łazienka,Tak,Tak,74
"Śródmieście, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,56
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Tak,Tak,67
"Śródmieście, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Tak,Tak,92
"Śródmieście, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,45,Nie podano,Nie podano,Tak,Tak,76
"Śródmieście, Warszawa",1800,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,93
"Śródmieście, Warszawa",2000,Agencja,Kawalerka lub garsoniera,Mieszkanie,29,Nie podano,Nie podano,Tak,Tak,60
"Śródmieście, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,36
"Śródmieście, Warszawa",3900,Agencja,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,203
"Śródmieście, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,75,Nie podano,Nie podano,Tak,Tak,79
"Śródmieście, Warszawa",2000,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Nie,71
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,59,Nie podano,Nie podano,Tak,Tak,84
"Śródmieście, Warszawa",1900,Agencja,2 pokoje,Mieszkanie,43,Nie podano,1 łazienka,Nie,Tak,64
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,31,Nie podano,1 łazienka,Tak,Tak,52
"Śródmieście, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,83
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,87
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,70,Garaż,1 łazienka,Tak,Tak,301
"Śródmieście, Warszawa",3200,Agencja,Kawalerka lub garsoniera,Mieszkanie,40,Ulica,Nie podano,Tak,Tak,164
"Śródmieście, Warszawa",3300,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,59
"Śródmieście, Warszawa",2350,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,139
"Śródmieście, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,120
"Śródmieście, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,69
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,21,Nie podano,Nie podano,Tak,Tak,159
"Śródmieście, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,54,Kryty,Nie podano,Tak,Tak,192
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,55,Ulica,1 łazienka,Nie,Tak,273
"Śródmieście, Warszawa",2000,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Nie,67
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,161
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,159
"Śródmieście, Warszawa",3350,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,231
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Tak,Tak,158
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,43,Garaż,1 łazienka,Tak,Tak,118
"Śródmieście, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,183
"Śródmieście, Warszawa",4200,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,176
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,147
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Tak,Tak,154
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,49,Garaż,1 łazienka,Tak,Tak,155
"Śródmieście, Warszawa",1950,Agencja,Kawalerka lub garsoniera,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,122
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,128
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,Nie podano,Tak,Tak,120
"Śródmieście, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,56,Kryty,Nie podano,Tak,Tak,153
"Śródmieście, Warszawa",3350,Agencja,2 pokoje,Mieszkanie,65,Kryty,Nie podano,Tak,Tak,140
"Śródmieście, Warszawa",2400,Agencja,Kawalerka lub garsoniera,Mieszkanie,26,Nie podano,Nie podano,Tak,Tak,154
"Śródmieście, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,120
"Śródmieście, Warszawa",2950,Agencja,2 pokoje,Mieszkanie,40,Kryty,Nie podano,Tak,Tak,137
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,35,Ulica,Nie podano,Tak,Tak,140
"Śródmieście, Warszawa",2600,Agencja,3 pokoje,Mieszkanie,47,Nie podano,Nie podano,Tak,Tak,123
"Śródmieście, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,50,Kryty,Nie podano,Tak,Tak,135
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,47,Kryty,Nie podano,Tak,Tak,129
"Śródmieście, Warszawa",3950,Agencja,2 pokoje,Mieszkanie,50,Kryty,Nie podano,Tak,Tak,159
"Śródmieście, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,76,Kryty,Nie podano,Tak,Tak,96
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,131
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,48,Kryty,Nie podano,Tak,Tak,146
"Śródmieście, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,68,Kryty,Nie podano,Tak,Tak,223
"Śródmieście, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,204
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,40,Kryty,Nie podano,Tak,Tak,151
"Śródmieście, Warszawa",3400,Agencja,2 pokoje,Mieszkanie,57,Kryty,Nie podano,Tak,Tak,162
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,40,Kryty,Nie podano,Tak,Tak,149
